codAuto;Identificação;Elemento;km;Latitude1;Longitude1;Latitude2;Longitude2;Trecho KM;KmFinal;Estado;Rodovia;Sentido;CorteAterro;Material;Comprimento;Largura;Altura;Forma;Ambiente;Tipo;Ok;Reparar;ExtensaoReparar;Limpeza;ExtensaoLimpeza;EstadoConservacao;Observacao;funcionario;dataEnvio;Lote;Foto1_Fichas;Foto2_Fichas;Segmento;Avaliado;Sincronizado
78;MF MG 135 367+630 S 1;Meio Fio;367+630;-16,7481902848305;-43,8464336327516;-16,7491645105238;-43,8464946853166;367;367+750;MG;BR-135;Sul;Aterro;Concreto;120;0,1;0,25;C/SARJETA;Urbano;MFC09L;;;;;;;;;;BR-135;;;1;;
77;DA MG 135 367+650 N 1;Descida Dágua;367+650;-16,748190673531;-43,8463063188003;-;-;367;;MG;BR-135;Norte;Aterro;Concreto;10;0,5;0,2;RETANGULAR;Urbano;DAR03;;;;;;;;;;BR-135;;;1;;
79;DA MG 135 367+690 S 1;Descida Dágua;367+690;-16,7486460663686;-43,846485677287;-;-;367;;MG;BR-135;Sul;Aterro;Concreto;12;0,5;0,25;RETANGULAR;Urbano;DAR03;;;;;;;;;;BR-135;;;1;;
76;DA MG 135 367+730 N 1;Descida Dágua;367+730;-16,749017052978;-43,846298953658;-;-;367;;MG;BR-135;Norte;Aterro;Concreto;15;0,5;0,2;RETANGULAR;Urbano;DAR03;;;;;;;;;;BR-135;;;1;;
80;DA MG 135 367+750 S 1;Descida Dágua;367+750;-16,7491882748986;-43,8465753234336;-;-;367;;MG;BR-135;Sul;Aterro;Concreto;10;0,5;0,2;RETANGULAR;Urbano;DAD02;;;;;;;;;;BR-135;;;1;;
81;MF MG 135 367+750 S 1;Meio Fio;367+750;-16,7491611599843;-43,8465329949992;-16,7494237489046;-43,846553684652;367;367+780;MG;BR-135;Sul;Aterro;Concreto;30;0,1;0,4;C/SARJETA;Urbano;MFC09L;;;;;;;;;;BR-135;;;1;;
82;DA MG 135 367+780 S 1;Descida Dágua;367+780;-16,7493530026789;-43,8465677007015;-;-;367;;MG;BR-135;Sul;Aterro;Concreto;13;0,85;0,45;RETANGULAR;Urbano;DAD22L;;;;;;;;;;BR-135;;;1;;
83;SJ MG 135 367+780 S 1;Sarjeta;367+780;-16,7493771574285;-43,8465587761248;-16,7496528207322;-43,8465013515388;367;367+810;MG;BR-135;Sul;Aterro;Concreto;30;1;0,55;TRIANGULAR;Urbano;STC02;;;;;;;;;;BR-135;;;1;;
75;DA MG 135 367+800 N 1;Descida Dágua;367+800;-16,7495918436153;-43,8461953925437;-;-;367;;MG;BR-135;Norte;Aterro;Concreto;15;0,5;0,2;RETANGULAR;Urbano;DAD02;;;;;;;;;;BR-135;;;1;;
85;DA MG 135 367+820 S 1;Descida Dágua;367+820;-16,7497854985669;-43,8465126813542;-;-;367;;MG;BR-135;Sul;Aterro;Concreto;2;1x0,7;0,5;TRAPEZOIDAL;Urbano;DRZ03L;;;;;;;;;;BR-135;;;1;;
86;SJ MG 135 367+820 S 1;Sarjeta;367+820;-16,7497757418421;-43,8465323638912;-16,751858707142;-43,8461284881661;367;368+060;MG;BR-135;Sul;Aterro;Concreto;240;1;0,3;TRIANGULAR;Urbano;STC02;;;;;;;;;;BR-135;;;1;;
74;MF MG 135 367+840 C 1;Meio Fio;367+840;-16,7485385763817;-43,8464232429051;-16,7499480756822;-43,8464157454265;367;367+690;MG;BR-135;Canteiro Central;Aterro;Concreto;330;0,1;0,15;S/SARJETA;Urbano;MFC05;;;;;;;;;;BR-135;;;1;;
65;MF MG 135 367+850 C 1;Meio Fio;367+850;-16,7500475537505;-43,8463140332948;-16,7520640670208;-43,8458125523613;367;368+090;MG;BR-135;Canteiro Central;Aterro;Concreto;500;0,1;0,15;S/SARJETA;Urbano;MFC05;;;;;;;;;;BR-135;;;1;;
73;DA MG 135 367+870 N 1;Descida Dágua;367+870;-16,75022659764;-43,8460352899633;-;-;367;;MG;BR-135;Norte;Aterro;Concreto;10;0,5;0,2;RETANGULAR;Urbano;DAR03;;;;;;;;;;BR-135;;;1;;
69;DA MG 135 367+920 N 1;Descida Dágua;367+920;-16,750685863464;-43,8458970441964;-;-;367;;MG;BR-135;Norte;Aterro;Concreto;4;0,5;0,25;RETANGULAR;Urbano;DAR03;;;;;;;;;;BR-135;;;1;;
70;DI MG 135 367+920 N 1;Dissipador;367+920;-16,7506722478323;-43,8458552698083;-;-;367;;MG;BR-135;Norte;Aterro;Concreto;10;3;0,2;RETANGULAR;Urbano;DED;;;;;;;;;;BR-135;;;1;;
72;MF MG 135 367+920 N 1;Meio Fio;367+920;-16,750688363715;-43,8458609240001;-16,7480065423866;-43,8463394091536;367;367+620;MG;BR-135;Norte;Aterro;Concreto;300;0,1;0,25;C/SARJETA;Urbano;MFC09L;;;;;;;;;;BR-135;;;1;;
71;SJ MG 135 367+950 N 1;Sarjeta;367+950;-16,7510047483288;-43,8452899279933;-16,7506679449068;-43,8458741613726;367;367+920;MG;BR-135;Norte;Aterro;Concreto;60;1;0,3;TRIANGULAR;Urbano;STC02;;;;;;;;;;BR-135;;;1;;
4032;DA MG 135 367+925 N 1;Descida Dágua;367+925;-16,750743;-43,845671;;;367;;MG;BR-135;NORTE;Aterro;CONCRETO;1;0,8;0,2;RETANGULAR;RURAL;;;;;;;;;;;BR-135;;;1;;
67;SJ MG 135 368+000 N 1;Sarjeta;368+000;-16,7513093704418;-43,845727514266;-16,7510915956383;-43,8454162965685;368;368+000;MG;BR-135;Norte;Aterro;Concreto;30;1;0,3;TRIANGULAR;Urbano;STC02;;;;;;;;;;BR-135;;;1;;
68;MF MG 135 368+000 N 1;Meio Fio;368+000;-16,7513484236869;-43,8458721251052;-16,7507093836893;-43,8459894132665;368;367+920;MG;BR-135;Norte;Aterro;Concreto;240;0,1;0,25;C/SARJETA;Urbano;MFC09L;;;;;;;;;;BR-135;;;1;;
91;DA MG 135 368+040 S 1;Descida Dágua;368+040;-16,7518228408837;-43,8461633240378;-;-;368;;MG;BR-135;Sul;Aterro;Concreto;20;1,5x1;0,5;TRAPEZOIDAL;Urbano;DRZ09L;;;;;;;;;;BR-135;;;1;;
66;DA MG 135 368+060 N 1;Descida Dágua;368+060;-16,7517870273458;-43,845758414494;-;-;368;;MG;BR-135;Norte;Aterro;Concreto;5;0,5;0,35;RETANGULAR;Urbano;DAR05L;;;;;;;;;;BR-135;;;1;;
87;MF MG 135 368+060 S 1;Meio Fio;368+060;-16,751890536536;-43,8461430334849;-16,7537218747159;-43,8454174819241;368;368+290;MG;BR-135;Sul;Aterro;Concreto;230;0,1;0,25;C/SARJETA;Urbano;MFC09L;;;;;;;;;;BR-135;;;1;;
89;VA MG 135 368+060 S 1;Valeta/Vala;368+060;-16,7518500145573;-43,8461909900929;-16,755658049834;-43,8449162819747;368;368+510;MG;BR-135;Sul;Aterro;Concreto;450;1,55x1;0,6;TRAPEZOIDAL;Urbano;VPA;;;;;;;;;;BR-135;;;1;;
90;DA MG 135 368+060 S 1;Descida Dágua;368+060;-16,7518227940648;-43,8462024498472;-;-;368;;MG;BR-135;Sul;Aterro;Concreto;12;1,3x1;0,6;TRAPEZOIDAL;Urbano;DRZ04L;;;;;;;;;;BR-135;;;1;;
64;MF MG 135 368+160 N 1;Meio Fio;368+160;-16,7525404935158;-43,8455162559188;-16,7512541846107;-43,8457183211681;368;368+000;MG;BR-135;Norte;Aterro;Concreto;160;0,1;0,25;C/SARJETA;Urbano;MFC09L;;;;;;;;;;BR-135;;;1;;
63;MF MG 135 368+240 C 1;Meio Fio;368+240;-16,7521216239088;-43,8457647761457;-16,7533744809189;-43,8454822888651;368;368+100;MG;BR-135;Canteiro Central;Aterro;Concreto;310;0,1;0,15;S/SARJETA;Urbano;MFC05;;;;;;;;;;BR-135;;;1;;
3662;DA MG 135 368+280 S 1;Descida Dágua;368+280;-16,7537218747159;-43,8454174819241;-;-;368;;MG;BR-135;Sul;Corte;Concreto;15;1;0,3;TRIANGULAR;Urbano;DRT07L;;;;;;;;;;BR-135;;;1;;
88;SJ MG 135 368+280 S 1;Sarjeta;368+280;-16,7537003078297;-43,8454320591418;-16,756498103913;-43,8446369781723;368;368+600;MG;BR-135;Sul;Aterro;Concreto;320;1;0,3;TRIANGULAR;Urbano;STC02;;;;;;;;;;BR-135;;;1;;
62;SJ MG 135 368+590 N 1;Sarjeta;368+590;-16,7564985981751;-43,8445578158814;-16,7525677153664;-43,8455714520584;368;368+140;MG;BR-135;Norte;Aterro;Concreto;450;1;0,3;TRIANGULAR;Urbano;STC02;;;;;;;;;;BR-135;;;1;;
49;MF MG 135 368+590 S 1;Meio Fio;368+590;-16,7564955711941;-43,844628392487;-16,7575910421698;-43,8444730391402;368;368+700;MG;BR-135;Sul;Aterro;Concreto;110;0,1;0,15;S/SARJETA;Urbano;MFC05;;;;;;;;;;BR-135;;;1;;
